frame_idx	timestamp_ns	ev_a	ev_b	range_a_m	range_b_m	scale_ratio	precision_pct	recall_pct	f1_pct	fp_count	fn_count
163	1784131494501960000	889	871	41.859	43.118	1.03	57.9	37.4	45.4	374	545
164	1784131494872720000	889	871	42.079	43.193	1.026	51.2	38.4	43.9	433	536
165	1784131495176855000	889	870	42.698	43.095	1.009	76.6	64.2	69.8	208	311
166	1784131495470965000	889	871	42.599	43.025	1.01	65.3	55.1	59.7	308	391
167	1784131495742088000	889	871	43.112	42.949	0.996	73.3	59.4	65.6	237	353
168	1784131496031586000	889	871	43.042	43.013	0.999	82.1	64.7	72.4	159	307
169	1784131496328353000	889	872	43.32	42.78	0.987	59.7	47.9	53.1	358	454
170	1784131496654405000	889	872	43.147	42.874	0.993	82.3	60.7	69.9	157	342
171	1784131496943878000	889	872	43.533	43.054	0.988	61.8	42.0	50.0	339	505
172	1784131497215945000	885	872	43.842	42.646	0.972	29.0	20.7	24.2	628	691
173	1784131497508755000	887	872	43.819	43.32	0.988	75.3	40.1	52.3	219	522
174	1784131497817128000	884	872	43.996	42.622	0.968	37.1	13.1	19.4	556	757
175	1784131498104992000	885	872	43.711	43.585	0.997	72.4	54.9	62.4	244	393
176	1784131498465118000	883	872	44.047	42.534	0.965	22.8	7.5	11.3	681	806
177	1784131498752912000	886	872	43.871	43.859	0.999	69.5	49.7	58.0	270	438
178	1784131499047327000	886	872	44.143	42.534	0.963	37.6	7.6	12.7	552	805
179	1784131499400263000	882	872	44.228	43.077	0.973	53.0	20.4	29.4	414	694
180	1784131499708638000	889	872	43.842	42.757	0.975	50.5	25.4	33.8	440	650
181	1784131500008065000	884	872	44.717	41.96	0.938	27.9	5.5	9.1	637	824
182	1784131500310518000	886	872	44.234	42.914	0.97	55.8	28.6	37.8	391	622
183	1784131500612110000	884	872	44.594	41.811	0.937	41.5	7.6	12.9	517	805
184	1784131500978269000	882	873	44.279	43.326	0.978	51.4	33.5	40.6	428	580
185	1784131501267502000	885	872	44.319	41.184	0.929	0.0	0.0	0.0	885	872
186	1784131501544612000	885	872	44.109	42.833	0.971	35.5	20.2	25.8	570	695
187	1784131501877597000	886	872	43.731	41.032	0.938	14.5	3.7	6.0	757	839
188	1784131502220668000	886	872	43.591	42.375	0.972	36.5	23.0	28.2	562	671
189	1784131502532070000	885	872	43.314	40.886	0.943	9.3	2.0	3.3	802	854
190	1784131502824279000	886	872	42.891	41.583	0.969	31.9	18.5	23.4	603	710
191	1784131503092120000	888	871	42.92	40.591	0.945	18.4	5.0	7.9	724	827
192	1784131503400652000	884	869	42.769	41.075	0.96	53.8	27.7	36.6	408	628
193	1784131503767150000	889	870	42.275	40.214	0.951	23.1	8.3	12.3	683	797
194	1784131504054908000	889	870	42.393	40.941	0.965	59.8	32.1	41.8	357	590
195	1784131504411720000	889	870	42.055	39.989	0.95	13.0	4.2	6.4	773	833
196	1784131504775981000	889	872	41.847	40.332	0.963	66.5	35.5	46.3	297	562
197	1784131505083783000	889	872	41.984	39.302	0.936	0.5	0.4	0.5	884	868
198	1784131505448949000	889	872	42.499	40.257	0.947	35.8	19.0	24.8	570	706
199	1784131505735249000	889	872	42.61	39.245	0.921	12.3	4.4	6.5	779	833
200	1784131506021917000	889	872	42.558	40.443	0.95	46.0	19.6	27.4	480	701
201	1784131506349422000	889	873	42.186	39.518	0.936	25.4	6.1	9.9	663	819
202	1784131506699548000	889	872	41.912	40.369	0.963	57.3	25.1	34.9	379	653
203	1784131507071805000	889	872	41.397	39.308	0.949	25.4	9.9	14.3	663	785
204	1784131507375355000	889	872	41.166	39.302	0.954	21.3	6.5	10.0	699	815
205	1784131507675027000	889	871	40.904	38.583	0.943	13.8	5.7	8.1	766	821
206	1784131507976709000	889	870	40.818	39.814	0.975	43.3	20.5	27.8	504	691
207	1784131508276016000	889	870	40.517	38.809	0.957	46.7	22.4	30.3	473	675
208	1784131508574449000	885	870	40.326	39.104	0.969	54.3	26.2	35.3	404	642
209	1784131508868865000	889	870	39.783	38.264	0.961	37.5	14.7	21.1	555	742
210	1784131509158178000	883	870	39.839	38.706	0.971	68.7	25.0	36.7	276	652
211	1784131509476178000	885	871	39.162	37.731	0.963	22.7	7.9	11.7	684	802
212	1784131509833266000	884	872	39.327	37.936	0.964	54.7	17.4	26.4	400	720
213	1784131510133899000	889	873	38.712	38.041	0.982	15.6	9.0	11.4	750	794
214	1784131510413823000	882	872	39.066	38.114	0.975	44.8	17.5	25.2	486	719
215	1784131510721253000	889	872	38.512	36.907	0.958	26.9	13.3	17.8	649	756
216	1784131511010779000	881	872	38.284	37.164	0.97	60.9	26.0	36.4	344	645
217	1784131511307855000	889	872	37.372	35.926	0.961	12.2	4.8	6.9	780	830
218	1784131511613330000	882	872	37.519	36.778	0.98	66.5	33.4	44.5	295	580
219	1784131511903417000	888	872	37.231	35.967	0.966	0.0	0.0	0.0	888	872
220	1784131512187798000	883	871	36.751	35.611	0.968	49.8	26.8	34.9	443	637
221	1784131512600548000	889	871	36.361	35.159	0.966	12.3	5.0	7.1	779	827
222	1784131512888716000	886	870	36.341	35.604	0.979	75.0	32.0	44.9	221	591
223	1784131513155662000	889	870	36.023	34.974	0.97	5.9	2.8	3.8	836	845
224	1784131513450896000	889	871	35.821	35.052	0.978	52.9	26.6	35.4	418	639
225	1784131513745126000	889	872	35.695	34.83	0.975	7.5	5.7	6.5	822	822
226	1784131514015678000	889	872	35.66	35.059	0.983	32.5	19.0	24.0	600	706
227	1784131514297603000	889	872	35.251	34.751	0.985	33.8	9.8	15.2	588	786
228	1784131514597961000	889	872	35.066	34.578	0.986	7.0	4.1	5.2	826	836
229	1784131514874781000	889	872	34.715	34.339	0.989	37.7	19.8	26.0	553	699
230	1784131515229428000	889	872	34.614	34.484	0.996	25.5	17.7	20.9	662	717
231	1784131515504104000	889	872	34.295	34.193	0.997	20.5	10.6	14.0	706	779
232	1784131515817207000	889	872	33.973	33.907	0.998	46.4	24.7	32.3	476	656
233	1784131516085121000	889	872	34.061	33.995	0.998	51.1	26.0	34.5	434	645
234	1784131516435598000	889	872	33.862	34.068	1.006	28.1	18.8	22.5	639	708
235	1784131516728041000	889	871	33.921	34.164	1.007	60.6	37.4	46.2	350	545
236	1784131517022485000	889	871	33.296	33.677	1.011	15.0	8.1	10.5	755	800
237	1784131517329859000	889	871	33.364	34.288	1.027	37.5	18.7	24.9	555	708
238	1784131517615862000	889	872	33.296	34.105	1.024	15.2	8.9	11.2	753	794
239	1784131517917399000	889	872	33.017	34.017	1.03	62.9	30.8	41.4	329	603
240	1784131518211211000	889	872	33.093	34.317	1.036	7.7	7.5	7.6	820	806
241	1784131518484009000	889	872	32.637	33.744	1.033	30.8	12.3	17.6	615	764
242	1784131518777672000	889	872	32.69	34.324	1.049	5.3	4.0	4.6	841	837
243	1784131519075036000	889	872	32.228	33.699	1.045	22.6	9.5	13.3	688	789
244	1784131519354862000	889	872	32.259	34.12	1.057	38.2	10.3	16.2	549	782
245	1784131519635322000	889	872	31.995	33.386	1.043	29.6	12.9	18.0	625	759
246	1784131519908505000	889	872	32.112	33.699	1.049	45.6	19.2	27.0	483	704
247	1784131520253280000	889	872	32.041	33.796	1.054	16.3	7.9	10.6	744	803
248	1784131520606033000	889	872	32.244	33.409	1.036	21.5	13.7	16.8	697	752
249	1784131520912706000	887	872	31.83	33.528	1.053	27.0	13.6	18.1	647	753
250	1784131521207967000	889	872	32.065	34.098	1.063	39.8	20.5	27.0	535	693
251	1784131521498178000	883	872	31.783	34.039	1.07	14.0	6.7	9.1	759	813
252	1784131521767445000	887	872	31.932	34.266	1.073	49.3	19.4	27.9	449	702
253	1784131522066826000	889	872	31.728	34.412	1.084	6.5	2.2	3.3	831	852
254	1784131522355100000	885	872	31.633	34.112	1.078	24.0	8.3	12.4	672	799
255	1784131522618094000	889	872	31.799	34.629	1.088	9.7	7.9	8.7	802	803
256	1784131522971103000	887	872	31.331	32.034	1.022	58.9	27.4	37.4	364	633
257	1784131523238891000	889	873	31.499	34.368	1.091	17.5	8.1	11.1	733	802
258	1784131523531714000	888	872	31.259	32.805	1.049	44.4	21.1	28.6	493	688
259	1784131523878925000	889	872	31.57	33.965	1.075	29.3	17.3	21.7	628	721
260	1784131524211539000	889	872	31.307	34.455	1.1	38.2	9.9	15.8	549	785
261	1784131524504823000	889	872	31.814	33.551	1.054	41.0	22.5	29.1	524	675
262	1784131524809607000	889	871	31.688	34.513	1.089	57.0	39.1	46.4	382	530
263	1784131525114814000	889	871	32.29	33.685	1.043	62.6	39.3	48.3	332	528
264	1784131525390537000	889	871	32.112	34.737	1.081	38.0	20.3	26.4	551	694
265	1784131525726599000	889	872	32.545	33.833	1.039	56.3	36.2	44.1	388	556
266	1784131525989718000	889	872	32.499	34.902	1.073	62.3	44.2	51.7	335	486
267	1784131526284992000	889	872	32.713	34.039	1.04	47.2	32.5	38.5	469	588
268	1784131526580427000	889	872	32.964	34.931	1.059	35.0	18.9	24.5	577	707
269	1784131526863287000	889	873	33.476	34.816	1.04	46.9	39.7	43.0	472	526
270	1784131527208425000	889	872	33.214	35.059	1.055	31.1	19.7	24.1	612	700
271	1784131527555332000	889	872	33.61	34.208	1.017	63.7	42.7	51.2	322	499
272	1784131527853896000	889	872	33.543	35.173	1.048	18.4	15.4	16.8	725	737
273	1784131528130331000	889	872	33.811	34.441	1.018	63.2	43.3	51.4	327	494
274	1784131528483730000	889	872	34.002	35.463	1.042	4.1	3.2	3.6	852	844
275	1784131528837404000	889	872	34.186	35.35	1.034	64.3	38.1	47.9	317	539
276	1784131529188554000	889	872	34.513	35.442	1.026	30.3	13.0	18.2	619	758
277	1784131529485813000	883	872	34.78	35.751	1.027	50.1	22.0	30.6	440	680
278	1784131529771140000	889	873	34.974	35.716	1.021	21.4	6.3	9.7	698	818
279	1784131530050811000	881	872	35.428	36.21	1.022	57.7	25.1	35.0	372	653
280	1784131530394054000	889	872	35.604	36.051	1.012	17.8	7.9	10.9	730	803
281	1784131530687980000	889	873	35.933	36.547	1.017	38.5	25.0	30.4	546	654
282	1784131530942631000	889	873	36.127	36.458	1.009	0.8	4.0	1.4	881	838
283	1784131531284559000	882	872	36.341	36.772	1.011	69.5	38.1	49.2	269	539
284	1784131531633784000	889	872	36.361	36.772	1.011	15.2	11.3	13.0	753	773
285	1784131531922893000	884	872	36.56	36.948	1.01	28.8	15.9	20.5	629	733
286	1784131532193916000	889	872	36.676	37.11	1.011	60.1	43.5	50.5	354	492
287	1784131532479261000	887	871	37.157	37.459	1.008	57.4	48.4	52.5	377	449
